
[-100, '-82', '-59', '-76', '-72']
[-100, '-87', '-59', '-71', '-77']
[-100, '-87', '-57', '-64', '-71']
['-86', '-86', '-58', '-64', '-71']
[-100, '-84', '-57', '-78', '-71']
[-100, '-80', '-57', '-64', '-70']
['-86', '-87', '-59', '-80', '-71']
[-100, '-90', '-59', '-71', '-70']
['-81', '-81', '-60', '-65', '-71']
['-86', '-86', '-60', '-65', '-71']
['-88', '-89', '-63', '-65', '-71']
['-86', '-85', '-62', '-80', '-71']
['-87', '-86', '-60', '-80', '-79']
['-87', '-86', '-60', '-65', '-70']
['-89', '-82', '-60', '-64', '-69']
['-83', '-76', '-64', '-57', '-71']
['-69', '-84', '-66', '-56', '-83']
['-72', '-74', '-56', '-58', '-70']
['-75', '-75', '-66', '-51', '-70']
['-83', '-81', '-57', '-51', '-70']
['-69', '-81', '-56', '-59', '-70']
['-69', '-81', '-56', '-50', '-70']
['-82', '-80', '-65', '-59', '-71']
['-71', '-73', '-56', '-50', '-76']
['-73', '-81', -100, '-58', '-77']
['-75', '-74', '-56', '-51', '-77']
['-71', '-83', '-56', '-58', '-69']
['-65', '-88', '-55', '-57', '-77']
['-70', '-75', '-64', '-50', '-70']
['-79', '-82', '-63', '-51', '-71']
['-68', '-82', '-66', '-51', '-70']
['-71', '-82', '-81', '-76', '-83']
['-60', '-52', '-73', '-74', -100]
['-61', '-49', '-76', '-73', '-88']
['-73', '-56', '-72', '-71', -100]
['-64', '-54', '-72', '-72', -100]
['-65', '-63', '-72', '-71', -100]
['-68', '-58', '-79', '-73', '-89']
['-60', '-52', '-82', '-75', -100]
['-70', '-54', '-79', '-72', -100]
['-69', '-55', '-82', '-72', -100]
['-64', '-57', '-80', '-72', '-99']
['-71', '-53', '-77', -100, -100]
['-69', '-58', '-76', '-72', -100]
['-75', '-52', '-72', '-75', -100]
['-66', '-68', '-73', '-64', -100]
['-84', '-74', '-57', '-70', '-83']
